datetime,symbol,open,high,low,close,volume,adx,sma10,sma20,sma50,sma100,sma200
2023-01-27 08:00:00,Binance:BTCUSDT,23009.65,23500.0,22534.88,23074.16,280833.86315,56.69,22460.18,20860.77,18475.44,18279.93,19633.96
2023-01-28 08:00:00,Binance:BTCUSDT,23074.16,23189.0,22878.46,23022.6,148115.71085,57.23,22694.69,21155.5,18593.32,18319.74,19652.43
2023-01-29 08:00:00,Binance:BTCUSDT,23021.4,23960.54,22967.76,23742.3,295688.78553,58.14,22961.76,21483.71,18725.62,18365.52,19669.97
2023-01-30 08:00:00,Binance:BTCUSDT,23743.37,23800.51,22500.0,22826.15,302405.90121,57.85,22977.66,21752.98,18840.44,18401.74,19681.15
2023-01-31 08:00:00,Binance:BTCUSDT,22827.38,23320.0,22714.77,23125.13,264649.34909,57.57,23011.81,22012.07,18958.75,18437.29,19692.63
2023-02-01 08:00:00,Binance:BTCUSDT,23125.13,23812.66,22760.23,23732.66,310790.42271,57.66,23114.29,22256.38,19077.91,18481.31,19705.31
2023-02-02 08:00:00,Binance:BTCUSDT,23731.41,24255.0,23363.27,23488.94,364177.20751,58.0,23171.54,22434.32,19191.62,18515.4,19718.77
2023-02-03 08:00:00,Binance:BTCUSDT,23489.33,23715.7,23204.62,23431.9,332571.02904,57.93,23251.44,22558.17,19313.14,18542.01,19723.76
2023-02-04 08:00:00,Binance:BTCUSDT,23431.9,23587.78,23253.96,23326.84,166126.47295,57.86,23278.03,22680.94,19447.03,18572.32,19723.41
2023-02-05 08:00:00,Binance:BTCUSDT,23327.66,23433.33,22743.0,22932.91,209251.33917,56.54,23270.36,22768.3,19570.16,18595.73,19721.96
2023-02-06 08:00:00,Binance:BTCUSDT,22932.91,23158.25,22628.13,22762.52,265371.6069,55.05,23239.19,22849.69,19690.64,18615.26,19720.01
2023-02-07 08:00:00,Binance:BTCUSDT,22762.52,23350.25,22745.78,23240.46,308006.72482,53.88,23260.98,22977.84,19826.68,18641.39,19722.79
2023-02-08 08:00:00,Binance:BTCUSDT,23242.42,23452.0,22665.85,22963.0,280056.30717,52.9,23183.05,23072.41,19948.02,18666.12,19725.35
2023-02-09 08:00:00,Binance:BTCUSDT,22961.85,23011.39,21688.0,21796.35,402894.6955,49.92,23080.07,23028.86,20047.46,18679.24,19721.44
2023-02-10 08:00:00,Binance:BTCUSDT,21797.83,21938.16,21451.0,21625.19,338591.94247,46.74,22930.08,22970.95,20143.53,18693.98,19723.01
2023-02-11 08:00:00,Binance:BTCUSDT,21625.19,21906.32,21599.78,21862.55,177021.58433,43.79,22743.07,22928.68,20245.21,18710.52,19726.05
2023-02-12 08:00:00,Binance:BTCUSDT,21862.02,22090.0,21630.0,21783.54,204435.65163,41.35,22572.53,22872.03,20344.16,18716.87,19720.2
2023-02-13 08:00:00,Binance:BTCUSDT,21782.37,21894.99,21351.07,21773.97,295730.76791,38.56,22406.73,22829.09,20443.0,18721.62,19709.86
2023-02-14 08:00:00,Binance:BTCUSDT,21774.63,22319.08,21532.77,22199.84,361958.40109,36.65,22294.03,22786.03,20548.61,18734.56,19701.99
2023-02-15 08:00:00,Binance:BTCUSDT,22199.84,24380.0,22047.28,24324.05,375669.16111,37.04,22433.15,22851.75,20700.96,18771.89,19705.39
2023-02-16 08:00:00,Binance:BTCUSDT,24322.87,25250.0,23505.25,23517.72,450080.68366,37.95,22508.67,22873.93,20840.37,18821.6,19706.51
2023-02-17 08:00:00,Binance:BTCUSDT,23517.72,25021.11,23339.37,24569.97,496813.1994,38.51,22641.62,22951.3,20999.1,18908.07,19713.02
2023-02-18 08:00:00,Binance:BTCUSDT,24568.24,24877.0,24430.0,24631.95,216917.25213,39.03,22808.51,22995.78,21159.59,18978.38,19721.24
2023-02-19 08:00:00,Binance:BTCUSDT,24632.05,25192.0,24192.57,24271.76,300395.99542,39.73,23056.05,23068.06,21314.18,19050.39,19728.51
2023-02-20 08:00:00,Binance:BTCUSDT,24272.51,25121.23,23840.83,24842.2,346938.56997,39.71,23377.75,23153.92,21478.69,19130.69,19739.61
2023-02-21 08:00:00,Binance:BTCUSDT,24843.89,25250.0,24148.34,24452.16,376000.82868,39.8,23636.72,23189.89,21634.27,19211.91,19745.3
2023-02-22 08:00:00,Binance:BTCUSDT,24450.67,24476.05,23574.69,24182.21,379425.75365,38.83,23876.58,23224.55,21784.41,19287.54,19751.44
2023-02-23 08:00:00,Binance:BTCUSDT,24182.21,24599.59,23608.0,23940.2,398400.45437,38.05,24093.21,23249.97,21926.21,19357.94,19755.27
2023-02-24 08:00:00,Binance:BTCUSDT,23940.2,24132.35,22841.19,23185.29,343582.57453,36.09,24191.75,23242.89,22053.28,19423.16,19752.15
2023-02-25 08:00:00,Binance:BTCUSDT,23184.04,23219.13,22722.0,23157.07,191311.8101,34.09,24075.05,23254.1,22177.41,19487.81,19752.19
2023-02-26 08:00:00,Binance:BTCUSDT,23157.07,23689.99,23059.18,23554.85,202323.73623,32.8,24078.77,23293.72,22309.63,19556.35,19750.19
2023-02-27 08:00:00,Binance:BTCUSDT,23554.85,23897.99,23106.77,23492.09,283706.0859,31.85,23970.98,23306.3,22436.92,19624.27,19747.98
2023-02-28 08:00:00,Binance:BTCUSDT,23492.09,23600.0,23020.97,23141.57,264140.99894,30.81,23821.94,23315.23,22556.18,19692.88,19741.67
2023-03-01 08:00:00,Binance:BTCUSDT,23141.57,24000.0,23020.03,23628.97,315287.41737,30.32,23757.66,23406.86,22679.95,19771.36,19737.61
2023-03-02 08:00:00,Binance:BTCUSDT,23629.76,23796.93,23195.9,23465.32,239315.45219,29.86,23619.97,23498.86,22790.39,19843.74,19733.41
2023-03-03 08:00:00,Binance:BTCUSDT,23465.32,23476.95,21971.13,22354.34,319954.19785,27.97,23410.19,23523.45,22860.55,19901.25,19724.7
2023-03-04 08:00:00,Binance:BTCUSDT,22354.34,22410.0,22157.08,22346.57,121257.38132,26.22,23226.63,23551.6,22908.88,19958.73,19717.16
2023-03-05 08:00:00,Binance:BTCUSDT,22346.57,22662.09,22189.22,22430.24,154841.75786,24.47,23075.63,23584.42,22938.38,20017.81,19712.6
2023-03-06 08:00:00,Binance:BTCUSDT,22430.24,22602.19,22258.0,22410.0,203751.82957,22.85,22998.1,23594.93,22969.15,20077.32,19708.69
2023-03-07 08:00:00,Binance:BTCUSDT,22409.41,22557.91,21927.0,22197.96,292519.80912,21.61,22902.19,23488.62,22989.4,20135.02,19715.51
2023-03-08 08:00:00,Binance:BTCUSDT,22198.56,22287.0,21580.0,21705.44,301460.57272,20.95,22717.25,23398.01,23000.81,20189.94,19718.34
2023-03-09 08:00:00,Binance:BTCUSDT,21704.37,21834.99,20042.72,20362.22,443658.28584,21.98,22404.26,23187.62,22994.51,20229.14,19712.57
2023-03-10 08:00:00,Binance:BTCUSDT,20362.21,20367.78,19549.09,20150.69,618456.4671,23.31,22105.17,22963.56,22976.09,20259.01,19706.33
2023-03-11 08:00:00,Binance:BTCUSDT,20150.69,20686.51,19765.03,20455.73,427831.82133,24.01,21787.85,22772.76,22931.86,20293.79,19700.96
2023-03-12 08:00:00,Binance:BTCUSDT,20455.73,22150.0,20270.6,21997.11,430944.94288,22.64,21641.03,22630.5,22916.13,20342.84,19704.1
2023-03-13 08:00:00,Binance:BTCUSDT,21998.05,24500.0,21813.88,24113.48,687889.31259,22.68,21816.94,22613.57,22944.24,20415.12,19716.88
2023-03-14 08:00:00,Binance:BTCUSDT,24112.27,26386.87,23976.42,24670.41,699360.93423,23.76,22049.33,22637.98,22979.32,20490.77,19739.02
2023-03-15 08:00:00,Binance:BTCUSDT,24670.41,25196.97,23896.95,24285.66,581450.72984,24.68,22234.87,22655.25,23012.38,20563.96,19760.26
2023-03-16 08:00:00,Binance:BTCUSDT,24285.66,25167.4,24123.0,24998.78,439421.32998,25.53,22493.75,22745.92,23051.13,20643.06,19787.48
2023-03-17 08:00:00,Binance:BTCUSDT,24998.78,27756.84,24890.0,27395.13,624460.68091,27.42,23013.46,22957.83,23138.84,20748.64,19823.03
2023-03-18 08:00:00,Binance:BTCUSDT,27395.13,27724.85,26578.0,26907.49,371238.97174,29.17,23533.67,23125.46,23215.51,20845.48,19858.51
2023-03-19 08:00:00,Binance:BTCUSDT,26907.49,28390.1,26827.22,27972.87,372066.99054,31.03,24294.73,23349.5,23314.52,20953.92,19898.12
2023-03-20 08:00:00,Binance:BTCUSDT,27972.87,28472.0,27124.47,27717.01,477378.23373,32.79,25051.37,23578.27,23394.01,21059.81,19936.05
2023-03-21 08:00:00,Binance:BTCUSDT,27717.01,28438.55,27303.1,28105.47,420929.7422,34.42,25816.34,23802.1,23499.6,21170.02,19976.82
2023-03-22 08:00:00,Binance:BTCUSDT,28107.81,28868.05,26601.8,27250.97,224113.41296,35.03,26341.73,23991.38,23582.11,21270.43,20013.91
2023-03-23 08:00:00,Binance:BTCUSDT,27250.97,28750.0,27105.0,28295.41,128649.60818,35.6,26759.92,24288.43,23673.37,21375.64,20055.39
2023-03-24 08:00:00,Binance:BTCUSDT,28295.42,28374.3,27000.0,27454.47,86242.06544,35.99,27038.33,24543.83,23752.68,21472.15,20093.68
2023-03-25 08:00:00,Binance:BTCUSDT,27454.46,27787.33,27156.09,27462.95,50844.08102,36.35,27356.05,24795.46,23833.3,21573.22,20137.04
2023-03-26 08:00:00,Binance:BTCUSDT,27462.96,28194.4,27417.76,27968.05,49671.70353,36.93,27652.98,25073.36,23926.12,21686.58,20180.41
2023-03-27 08:00:00,Binance:BTCUSDT,27968.05,28023.86,26508.14,27124.91,88039.46898,36.2,27625.96,25319.71,24009.96,21790.06,20219.44
2023-03-28 08:00:00,Binance:BTCUSDT,27124.9,27520.0,26631.78,27261.07,78602.44341,35.52,27661.32,25597.49,24099.93,21895.29,20248.94
2023-03-29 08:00:00,Binance:BTCUSDT,27261.06,28650.0,27240.1,28348.6,89486.16008,35.68,27698.89,25996.81,24202.1,22014.39,20282.44
2023-03-30 08:00:00,Binance:BTCUSDT,28348.6,29184.68,27686.0,28028.53,98865.43256,36.14,27730.04,26390.7,24303.41,22125.72,20313.45
2023-03-31 08:00:00,Binance:BTCUSDT,28028.53,28656.69,27511.71,28465.36,78198.12139,36.32,27766.03,26791.19,24436.79,22242.12,20343.8
2023-04-01 08:00:00,Binance:BTCUSDT,28465.36,28819.71,28220.27,28452.73,30238.44753,36.6,27886.21,27113.97,24573.34,22358.44,20385.2
2023-04-02 08:00:00,Binance:BTCUSDT,28452.74,28530.0,27856.43,28171.87,37365.65692,36.31,27873.85,27316.89,24699.53,22472.37,20424.92
2023-04-03 08:00:00,Binance:BTCUSDT,28171.87,28500.99,27200.24,27800.0,79180.01405,35.13,27908.41,27473.37,24819.85,22582.01,20465.41
2023-04-04 08:00:00,Binance:BTCUSDT,27800.0,28444.44,27662.79,28165.47,49722.55691,34.03,27978.66,27667.36,24947.68,22695.34,20507.22
2023-04-05 08:00:00,Binance:BTCUSDT,28165.47,28775.0,27805.1,28170.01,60737.64732,33.32,27998.85,27825.92,25067.09,22807.85,20547.51
2023-04-06 08:00:00,Binance:BTCUSDT,28170.01,28182.05,27711.0,28033.82,40118.94963,32.51,28089.75,27857.85,25141.28,22921.12,20590.59
2023-04-07 08:00:00,Binance:BTCUSDT,28033.83,28100.0,27766.94,27906.33,24762.09387,31.77,28154.27,27907.79,25229.06,23034.71,20632.44
2023-04-08 08:00:00,Binance:BTCUSDT,27906.34,28154.99,27859.02,27938.38,19479.96735,31.13,28113.25,27906.07,25296.42,23147.76,20677.76
2023-04-09 08:00:00,Binance:BTCUSDT,27938.38,28530.0,27800.0,28323.76,32531.16101,30.95,28142.77,27936.41,25370.26,23264.92,20727.07
2023-04-10 08:00:00,Binance:BTCUSDT,28323.76,29770.0,28170.0,29637.34,67754.0622,31.83,28259.97,28013.0,25477.57,23395.87,20778.25
2023-04-11 08:00:00,Binance:BTCUSDT,29637.35,30550.0,29590.0,30200.42,67990.07621,33.15,28434.74,28160.47,25584.74,23531.71,20832.8
2023-04-12 08:00:00,Binance:BTCUSDT,30200.43,30486.0,29637.4,29888.07,62049.48451,34.37,28606.36,28240.11,25693.45,23663.86,20887.64
2023-04-13 08:00:00,Binance:BTCUSDT,29888.07,30595.0,29854.59,30373.84,51934.11731,35.57,28863.74,28386.08,25817.29,23800.85,20945.47
2023-04-14 08:00:00,Binance:BTCUSDT,30373.84,31000.0,29966.0,30466.93,75984.19452,36.94,29093.89,28536.27,25947.82,23937.01,21001.67
2023-04-15 08:00:00,Binance:BTCUSDT,30466.93,30595.6,30202.0,30295.09,25429.81247,38.22,29306.4,28652.63,26090.02,24071.65,21057.75
2023-04-16 08:00:00,Binance:BTCUSDT,30295.1,30549.99,30120.0,30304.65,26431.99322,39.21,29533.48,28811.61,26232.97,24205.19,21112.21
2023-04-17 08:00:00,Binance:BTCUSDT,30304.66,30316.06,29240.65,29430.27,56441.81127,38.38,29685.87,28920.07,26350.48,24330.05,21161.4
2023-04-18 08:00:00,Binance:BTCUSDT,29430.27,30485.0,29096.78,30380.01,62004.89434,37.78,29930.04,29021.64,26488.24,24462.58,21216.19
2023-04-19 08:00:00,Binance:BTCUSDT,30380.01,30413.53,28520.0,28797.1,86575.48656,36.22,29977.37,29060.07,26601.35,24578.76,21263.62
2023-04-20 08:00:00,Binance:BTCUSDT,28797.1,29088.3,28010.0,28243.65,76879.09372,34.02,29838.0,29048.99,26693.64,24686.79,21309.55
2023-04-21 08:00:00,Binance:BTCUSDT,28243.65,28374.02,27125.0,27262.84,77684.7679,32.31,29544.24,28989.49,26769.59,24779.99,21347.72
2023-04-22 08:00:00,Binance:BTCUSDT,27262.84,27882.72,27140.35,27816.85,36023.69686,30.72,29337.12,28971.74,26878.84,24869.69,21385.12
2023-04-23 08:00:00,Binance:BTCUSDT,27816.85,27816.85,27311.25,27590.6,34812.09581,29.25,29058.8,28961.27,26983.72,24946.3,21422.28
2023-04-24 08:00:00,Binance:BTCUSDT,27590.59,28000.0,26942.82,27510.93,53111.56874,28.34,28763.2,28928.54,27085.33,25011.86,21460.03
2023-04-25 08:00:00,Binance:BTCUSDT,27510.93,28399.99,27192.0,28300.79,52325.14637,26.85,28563.77,28935.08,27203.15,25086.15,21503.88
2023-04-26 08:00:00,Binance:BTCUSDT,28300.8,30036.0,27235.0,28415.29,129228.40403,26.33,28374.83,28954.16,27327.5,25158.45,21548.87
2023-04-27 08:00:00,Binance:BTCUSDT,28415.29,29890.0,28378.86,29472.77,95430.82431,25.85,28379.08,29032.48,27482.84,25241.83,21599.04
2023-04-28 08:00:00,Binance:BTCUSDT,29472.77,29599.54,28891.0,29311.7,54298.16578,25.4,28272.25,29101.14,27661.83,25328.17,21649.94
2023-04-29 08:00:00,Binance:BTCUSDT,29311.69,29448.88,29031.0,29230.45,20466.83058,24.98,28315.59,29146.48,27843.43,25409.76,21700.79
2023-04-30 08:00:00,Binance:BTCUSDT,29230.45,29969.39,29079.59,29233.21,39752.5372,25.16,28414.54,29126.27,28018.98,25475.42,21751.18
2023-05-01 08:00:00,Binance:BTCUSDT,29233.2,29337.34,27666.95,28068.26,64433.65958,23.42,28495.08,29019.66,28140.4,25528.27,21794.64
2023-05-02 08:00:00,Binance:BTCUSDT,28068.26,28879.88,27872.0,28669.86,50824.5224,21.8,28580.39,28958.75,28231.53,25587.89,21842.11
2023-05-03 08:00:00,Binance:BTCUSDT,28669.85,29266.66,28113.69,29026.16,64615.79213,20.66,28723.94,28891.37,28318.64,25648.98,21891.89
2023-05-04 08:00:00,Binance:BTCUSDT,29026.16,29379.83,28663.64,28838.16,42575.47501,19.74,28856.66,28809.93,28409.69,25711.04,21939.77
2023-05-05 08:00:00,Binance:BTCUSDT,28838.16,29677.0,28800.0,29505.61,58415.83048,19.24,28977.15,28770.46,28499.83,25775.48,21989.55
2023-05-06 08:00:00,Binance:BTCUSDT,29505.6,29820.0,28300.0,28848.2,49249.28459,18.05,29020.44,28697.64,28528.89,25833.87,22037.15
2023-05-07 08:00:00,Binance:BTCUSDT,28848.19,29138.29,28395.23,28430.1,30003.41028,16.95,28916.17,28647.63,28559.34,25887.43,22083.68
2023-05-08 08:00:00,Binance:BTCUSDT,28430.09,28631.01,27262.0,27668.79,68244.36179,16.95,28751.88,28512.07,28553.26,25933.89,22126.81
2023-05-09 08:00:00,Binance:BTCUSDT,27668.8,27818.0,27353.0,27628.27,40113.31069,16.94,28591.66,28453.62,28551.49,25972.75,22169.13
2023-05-10 08:00:00,Binance:BTCUSDT,27628.28,28331.42,26777.0,27598.75,71155.11355,17.54,28428.22,28421.38,28541.35,26020.47,22211.11
2023-05-11 08:00:00,Binance:BTCUSDT,27598.74,27630.14,26702.05,26968.62,47635.31365,18.17,28318.25,28406.67,28535.71,26058.91,22248.1
2023-05-12 08:00:00,Binance:BTCUSDT,26968.61,27091.12,25811.46,26795.01,67207.93494,19.55,28130.77,28355.58,28505.7,26089.53,22285.42
